time,A60,B60,A80,B80,A100,B100,A120,B120,A140,B140,A160,B160,A180,B180,A200,B200
0.0,0.601380497555,0.00512410716554,0.780783273017,-0.00110017762289,0.97719530225,-0.0237758155276,1.17256852706,-0.0274720137552,1.39439627741,-0.0138610871132,1.58398395987,-0.0140359111282,1.79481497065,-0.00970705793819,2.00902069159,-0.0124750673376
1.0,0.572596903151,-0.00716519554409,0.759027508859,0.0028690816779,0.967282829375,0.00177653208835,1.16205794339,0.00121058654522,1.35996996347,0.0261393097931,1.54146168153,0.0173294430004,1.7245351546,0.0117851925789,1.92313107924,0.0148412578668
2.0,0.574852204095,-0.0152657954483,0.77312445425,0.0159609491448,0.936298119859,0.0228822587543,1.13636627501,0.0190619033615,1.31155965681,0.0361948187725,1.50113370559,0.036813628841,1.67067416022,0.0477799874059,1.85445765746,0.0564593584103
3.0,0.574444053905,0.00497933726951,0.739658774285,0.0146331695652,0.937231684438,0.0353373631244,1.09978354813,0.0348619775913,1.29314423491,0.0550130565098,1.44283366093,0.0494782635872,1.61032280678,0.0673877555946,1.77075322946,0.085973498418
4.0,0.545311999575,0.0114867769808,0.746716611077,0.0223295074291,0.900224645035,0.019714411285,1.08456381066,0.0529220397565,1.26288677,0.0492745140868,1.39585442715,0.0812658042898,1.56045534275,0.105064745685,1.71355042684,0.131841657824
5.0,0.574487101574,0.0148589089538,0.720833800916,0.0259065912296,0.88825155698,0.0460545261315,1.05708410848,0.0662549779757,1.20376976461,0.0914853677184,1.36450737228,0.0869167740933,1.52445510475,0.118869380451,1.65014240927,0.162567307715
6.0,0.556985661514,0.00118714452017,0.716551160885,0.0250498701881,0.879377998326,0.041075696176,1.04410050208,0.0681896086113,1.18923933801,0.078840819577,1.33205032203,0.124772079916,1.45905289769,0.143477746636,1.59567427981,0.18105377901
7.0,0.548029740455,0.0108240124735,0.722006470509,0.0353973347984,0.853564593067,0.0379079969474,1.03247809683,0.076344833032,1.16613639227,0.0966102833555,1.28560846705,0.120490572108,1.43221667563,0.186896755373,1.54649162351,0.230770919605
8.0,0.525713318722,0.00743032942479,0.696375141091,0.0253907338892,0.847013300788,0.0642543115913,0.988360621536,0.101648646415,1.12984569301,0.126268076073,1.27597404813,0.141931109777,1.38585796909,0.194165631347,1.49914952135,0.250847159548
9.0,0.532628198545,0.000696559670334,0.681114101049,0.026983362178,0.82748927083,0.0559022983638,0.991710284217,0.0939860268293,1.11425560639,0.123996109041,1.21758055589,0.177478612455,1.35544483219,0.20928846686,1.45104366293,0.269836787093
10.0,0.556329514876,0.0209566690288,0.691365398478,0.0451040760751,0.817910680501,0.08637019533,0.959894427311,0.097848278879,1.05875831194,0.15012070034,1.2203751527,0.188569433769,1.30654794682,0.221099024188,1.40931894377,0.287218547442
11.0,0.507942398383,0.0245441898157,0.689360123943,0.0580340710642,0.802249631358,0.0750737804492,0.933379277573,0.10911207507,1.06097233123,0.163061241722,1.16023243856,0.199976295381,1.2815343861,0.219255969561,1.3739394634,0.30912050676
12.0,0.51817911728,0.0350735699664,0.660785504193,0.0592888776536,0.79873691987,0.105202570711,0.909405036782,0.120971285714,1.05927489437,0.162582500707,1.16715306131,0.218501365055,1.23533717521,0.252687717643,1.341126789,0.328339300873
13.0,0.504009535815,0.0307564763699,0.651169602208,0.0464238055226,0.772931686817,0.0774493024626,0.915929439128,0.129716494765,1.01560776967,0.182409270629,1.12238335919,0.240704474071,1.21032033684,0.264547355874,1.31317426673,0.326685803682
14.0,0.5007139046,0.0493350334474,0.650063797021,0.0598068904869,0.775334878047,0.11637694752,0.905524744672,0.150106579885,1.00344001354,0.173136304587,1.0956059778,0.219447105342,1.18820961753,0.297720784076,1.2789034793,0.351782303438
15.0,0.505272226588,0.0460244331773,0.65199235869,0.0675082549352,0.757867110539,0.111891285597,0.89977221817,0.131768568361,0.980841061925,0.207257614799,1.05207127164,0.258233137933,1.15056299308,0.288296208821,1.24312374858,0.35098182186
16.0,0.487857003978,0.0123484726392,0.624069791272,0.0712137112729,0.741051993512,0.127930522897,0.858332810544,0.141762617767,0.967841079197,0.213286175256,1.04983466114,0.247591589577,1.15175996093,0.312821656852,1.19933790666,0.383770875318
17.0,0.482882244117,0.0520968806889,0.623041364323,0.0713961582367,0.741261327089,0.114251036707,0.849291577725,0.144141024304,0.93731748293,0.217744260726,1.02523224897,0.277116792344,1.09601684943,0.330862361692,1.16574253275,0.380812181448
18.0,0.504125661903,0.0466773227205,0.59925792633,0.0912366201046,0.730312808395,0.129913785543,0.832568070641,0.168936903617,0.910565149907,0.217265202013,0.999431187658,0.285928412602,1.08795921275,0.349357635867,1.15727098378,0.407741361496
19.0,0.480588965674,0.0387297881335,0.614673871761,0.0700614940513,0.736343680551,0.132585005877,0.828208095811,0.183761341777,0.90127252703,0.265354975335,0.992090173768,0.294279479707,1.06420136241,0.35581284119,1.10978177836,0.434352717428
20.0,0.476620802521,0.0361048380703,0.588402059742,0.0763066118879,0.713107051913,0.130869838657,0.811172928576,0.184224501255,0.903230798964,0.235632709419,0.969407840183,0.313931714274,1.04589771462,0.359176929429,1.09312646708,0.433136715796
21.0,0.462152978292,0.045195761849,0.574588404516,0.0773181383987,0.700137901952,0.130513326375,0.798539637976,0.20300061897,0.862037772698,0.253649646061,0.945879425283,0.312572951326,1.00876759496,0.37966100597,1.08394492354,0.450745393818
22.0,0.475761543926,0.0424173616202,0.568868751196,0.0968542304053,0.688715864143,0.138187056714,0.761666379684,0.210266625274,0.860226493481,0.243731993173,0.928643073158,0.328509556806,0.993341276139,0.374175968743,1.03961271933,0.455022648321
23.0,0.459710583648,0.043775610731,0.580338277009,0.111753927798,0.686733541086,0.141431824536,0.774111682578,0.195577890726,0.827737404854,0.274482428042,0.909777298809,0.334465824271,0.965922619878,0.401905517648,1.02514025548,0.471242215386
24.0,0.460595219575,0.0473982941699,0.56943688273,0.0972506112799,0.670367325698,0.150258896038,0.751816821617,0.215129825656,0.825440167084,0.263496481194,0.889347627931,0.347154893987,0.962212877994,0.406769745742,1.01096357223,0.485158221297
25.0,0.450416142107,0.0437519863828,0.563809858545,0.0975760767501,0.665920414772,0.146672627429,0.733759169942,0.219750464104,0.803915659862,0.280313468078,0.892175953814,0.329342285572,0.939341590438,0.409660120677,0.979924587466,0.490014681904
26.0,0.458261781853,0.0607270453587,0.534106191267,0.121338952931,0.650436549925,0.15735971278,0.727631800371,0.237170131624,0.805981042014,0.280795567132,0.863961794914,0.349106591889,0.920386773446,0.43611086447,0.953073311074,0.48918090388
27.0,0.449486428823,0.055734833254,0.540453437747,0.112768320378,0.637789946391,0.165937121852,0.719842721184,0.224191979871,0.784177875967,0.296096173259,0.829517562913,0.356618684138,0.905617241471,0.430902638976,0.950940116918,0.522727421326
28.0,0.444177495658,0.0568180440537,0.544946081455,0.123943885085,0.63926009417,0.165263645499,0.698443380158,0.208837156693,0.778727215964,0.30113384607,0.828815888962,0.371518695986,0.887122720405,0.449914657761,0.95355471281,0.530678213903
29.0,0.442926460127,0.0703042759662,0.54904267285,0.103510171698,0.646422977926,0.214254796707,0.682069183538,0.237535482892,0.750772873713,0.308968273524,0.81683392764,0.37782548718,0.861138783976,0.458397150121,0.923472456248,0.520037423708
30.0,0.443668543399,0.0557576264432,0.538747503678,0.117295877591,0.629715710086,0.167071041493,0.701610281423,0.246899810284,0.741719139477,0.313820278927,0.809245823333,0.401268795308,0.851285460025,0.449288900803,0.913474342927,0.523289993718
31.0,0.417897137315,0.0863612500235,0.537712009254,0.124516379691,0.604316543486,0.181245172706,0.670130601684,0.242895099497,0.730840627893,0.308335291198,0.78699115309,0.38661563061,0.842096684539,0.471812137343,0.880736300985,0.533441084141
32.0,0.413919770136,0.0846579270032,0.513785543157,0.131726479647,0.598495918385,0.197668965222,0.653780343541,0.247375200209,0.734935130479,0.318471740387,0.774541621811,0.403358101842,0.842636011162,0.47855403979,0.879014768405,0.543379480066
33.0,0.42987843738,0.0658182918096,0.514509863177,0.133502247483,0.603327118736,0.181158007647,0.650040688071,0.262229390314,0.710574619291,0.320299814203,0.761780193126,0.400836671038,0.818030419058,0.491224472539,0.861970626734,0.572438203074
34.0,0.42571701475,0.073801022426,0.502972403492,0.139760595518,0.570205491798,0.18397463046,0.642264983774,0.270606383526,0.716244550549,0.33441811356,0.76175562218,0.410718362502,0.793800069353,0.486538897101,0.822193718417,0.549082140024
35.0,0.407715634452,0.0897754779591,0.496827983792,0.137226422621,0.562669456026,0.188762250933,0.655328288717,0.266205651926,0.699438566915,0.338627941282,0.752500710057,0.41597654723,0.801716668038,0.486826334494,0.820976848544,0.576217181451
36.0,0.399803833088,0.0743144257561,0.51038578003,0.1341077629,0.572782957759,0.199193882824,0.633620918743,0.283861218,0.701937744209,0.349186437671,0.731592333575,0.400233055799,0.764166108325,0.501720517919,0.817409100487,0.578830294915
37.0,0.416495189167,0.0786644327957,0.489487647558,0.141175792353,0.578679313079,0.188787846302,0.605761822719,0.271755784432,0.678237159513,0.35826743908,0.726218425298,0.435396134815,0.759284701432,0.503233847665,0.810540890188,0.571526688575
38.0,0.408192442156,0.08968583765,0.479028613105,0.15143077251,0.578086073875,0.200863132815,0.626585404859,0.281021909241,0.654627279035,0.353725911632,0.70358494169,0.430466885395,0.747670550171,0.498117658206,0.774491331376,0.584723783622
39.0,0.389088961878,0.105157291318,0.475590245727,0.137316757887,0.566081674516,0.213533162888,0.616608860262,0.265293006446,0.656690721787,0.339664252991,0.706389296904,0.429920575013,0.745123690879,0.509008775878,0.762795700099,0.603990227653
40.0,0.397749009868,0.0908256832344,0.472466583309,0.143728941724,0.540596517974,0.211132319232,0.617995386139,0.295826459614,0.666480799699,0.347281817801,0.703044510825,0.463445752897,0.729249061858,0.512677679178,0.751421417924,0.593931786255
