time,absorbance
0.0,0.441875923634
1.0,0.411688006804
2.0,0.384199698532
3.0,0.369743385429
4.0,0.342148055601
5.0,0.335511711496
6.0,0.318319265679
7.0,0.304853381838
8.0,0.297372868801
9.0,0.295113007299
10.0,0.290785447654
11.0,0.274853802517
12.0,0.278181397676
13.0,0.259996421025
14.0,0.25858865154
15.0,0.247261371088
16.0,0.255468994192
17.0,0.2541244601
18.0,0.24388129479
19.0,0.23318555177
20.0,0.242383879057
21.0,0.240875064573
22.0,0.234074089045
23.0,0.228682314635
24.0,0.226316278273
25.0,0.229755245032
26.0,0.221496600426
27.0,0.228938654424
28.0,0.229531772804
29.0,0.222654596287
30.0,0.23287595019
31.0,0.230598065844
32.0,0.22994190595
33.0,0.230871913396
34.0,0.230249622356
35.0,0.229132230035
36.0,0.234112465352
37.0,0.223632349644
38.0,0.228623549094
39.0,0.225747296423
40.0,0.225663076221
41.0,0.224661117654
42.0,0.229902507793
43.0,0.225901188082
44.0,0.23349784764
45.0,0.220655425986
46.0,0.220679594585
47.0,0.230467439212
48.0,0.221829075806
49.0,0.225206880683
50.0,0.228566174238
51.0,0.222629534389
52.0,0.216536026787
53.0,0.23524150202
54.0,0.222289976879
55.0,0.226547277955
56.0,0.220205762221
57.0,0.225011224152
58.0,0.226771970571
59.0,0.22751470212
60.0,0.221176968505
61.0,0.219914138678
62.0,0.221638532994
63.0,0.226715019864
64.0,0.221445846367
65.0,0.228220074308
66.0,0.237179366164
67.0,0.231578349099
68.0,0.220431540765
69.0,0.211081450767
70.0,0.220072711314
71.0,0.228523788966
72.0,0.216577968725
73.0,0.232356905973
74.0,0.214660770484
75.0,0.222794432172
76.0,0.221823933311
77.0,0.229651233706
78.0,0.223276839876
79.0,0.224332708352
80.0,0.211650625577
81.0,0.228669934904
82.0,0.229767188853
83.0,0.223578376305
84.0,0.223302749782
85.0,0.225922808741
86.0,0.229173502504
87.0,0.22585739161
88.0,0.224987538309
89.0,0.226251215972
90.0,0.233563694973
91.0,0.223022622749
92.0,0.224676653295
93.0,0.223667264036
94.0,0.224766029915
95.0,0.219749950052
96.0,0.223772620482
97.0,0.224906032912
98.0,0.221988495321
99.0,0.217229371621
100.0,0.23712770308
101.0,0.23235676263
102.0,0.22872773605
103.0,0.229494317473
104.0,0.224430069202
105.0,0.231175149522
106.0,0.22040165794
107.0,0.224116820568
108.0,0.227317874324
109.0,0.233425524183
110.0,0.231169603138
111.0,0.216733822889
112.0,0.217184416708
113.0,0.222267735857
114.0,0.221044513691
115.0,0.222792719767
116.0,0.217310418518
117.0,0.222450994387
118.0,0.217643886623
119.0,0.219389392636
120.0,0.220319141931
121.0,0.227888073535
122.0,0.220564448085
123.0,0.224139359032
124.0,0.221422190702
125.0,0.226976152561
126.0,0.22635658639
127.0,0.221006993911
128.0,0.222860353131
129.0,0.224784676038
130.0,0.222747790458
131.0,0.225521532498
132.0,0.224211864058
133.0,0.227486228163
134.0,0.230535739533
135.0,0.224919023413
136.0,0.217342243618
137.0,0.223557972072
138.0,0.219943533752
139.0,0.229699137691
140.0,0.223912366297
141.0,0.219368570377
142.0,0.230238778992
143.0,0.227294920839
144.0,0.216592930388
145.0,0.223064597303
146.0,0.222784702204
147.0,0.221721944301
148.0,0.220498326188
149.0,0.227028226611
150.0,0.224675227451
151.0,0.225148637911
152.0,0.229328936371
153.0,0.218726091202
154.0,0.217930743036
155.0,0.232516824249
156.0,0.222105410443
157.0,0.225559165482
158.0,0.225245870111
159.0,0.227298410266
160.0,0.218995636391
161.0,0.231058794952
162.0,0.219206544369
163.0,0.222129203177
164.0,0.22885572597
165.0,0.214318765403
166.0,0.230319844512
167.0,0.22421612312
168.0,0.225728855031
169.0,0.231462581921
170.0,0.233526416249
171.0,0.223125520005
172.0,0.227970729765
173.0,0.215311633961
174.0,0.231199658869
175.0,0.229704778161
176.0,0.229385110513
177.0,0.234854174235
178.0,0.224523099492
179.0,0.231779053975
180.0,0.221204268503
181.0,0.219842561909
182.0,0.225504238629
183.0,0.220865676013
184.0,0.220762617518
185.0,0.23622055589
186.0,0.219202634253
187.0,0.225634237203
188.0,0.219609804678
189.0,0.225640368811
190.0,0.220755231719
191.0,0.23753763111
192.0,0.226599180884
193.0,0.222104156614
194.0,0.225922817495
195.0,0.231287669184
196.0,0.216009287551
197.0,0.219641103924
198.0,0.222945258197
199.0,0.21706534857
